"membership_1","Type","Alcohol","Malic","Ash","Alcalinity","Magnesium","Phenols","Flavanoids","Nonflavanoids","Proanthocyanins","Color","Hue","Dilution","Proline","Comp.1","Comp.2","Comp.3"
1,1,14.23,1.71,2.43,15.6,127,2.8,3.06,0.28,2.29,5.64,1.04,3.92,1065,-3.52293390308179,1.45309843953583,-0.164795487556354
1,1,13.2,1.78,2.14,11.2,100,2.65,2.76,0.26,1.28,4.38,1.05,3.4,1050,-2.52885806184637,-0.330019251521414,-2.02670665216597
2,1,13.16,2.36,2.67,18.6,101,2.8,3.24,0.3,2.81,5.68,1.03,3.17,1185,-2.78502898415203,1.03693595258896,0.983237703009477
1,1,14.37,1.95,2.5,16.8,113,3.85,3.49,0.24,2.18,7.8,0.86,3.45,1480,-3.92258840777613,2.76821026184385,-0.174968168287344
2,1,13.24,2.59,2.87,21,118,2.8,2.69,0.39,1.82,4.32,1.04,2.93,735,-1.40751111197875,0.867773087265379,2.02582948517462
1,1,14.2,1.76,2.45,15.2,112,3.27,3.39,0.34,1.97,6.75,1.05,2.85,1450,-3.28812981479713,2.13017512915125,-0.628992338668433
1,1,14.39,1.87,2.45,14.6,96,2.5,2.52,0.3,1.98,5.25,1.02,3.58,1290,-2.75057754136764,1.179169985428,-0.977337470636187
2,1,14.06,2.15,2.61,17.6,121,2.6,2.51,0.31,1.25,5.05,1.06,3.58,1295,-2.39286651986964,1.61128232065344,0.1457294624034
1,1,14.83,1.64,2.17,14,97,2.8,2.98,0.29,1.98,5.2,1.08,2.85,1045,-2.79525633054667,0.923179516915521,-1.77092547760756
1,1,13.86,1.35,2.27,16,98,2.98,3.15,0.22,1.85,7.22,1.01,3.55,1045,-3.00559666400258,0.796284169422545,-0.983741629406041
1,1,14.1,2.16,2.3,18,105,2.95,3.32,0.22,2.38,5.75,1.25,3.17,1510,-3.67868855454691,1.31252342076756,-0.421854169926469
1,1,14.12,1.48,2.32,16.8,95,2.2,2.43,0.26,1.57,5,1.17,2.82,1280,-2.10963476717679,0.612981986402839,-1.19156995392878
1,1,13.75,1.73,2.41,16,89,2.6,2.76,0.29,1.81,5.6,1.15,2.9,1320,-2.43845636164471,0.67852331002953,-0.865513700575233
1,1,14.75,1.73,2.39,11.4,91,3.1,3.69,0.43,2.81,5.4,1.25,2.73,1150,-3.67349453185187,1.14012135516625,-1.20376870242097
1,1,14.38,1.87,2.38,12,102,3.3,3.64,0.29,2.96,7.5,1.2,3,1547,-4.44157575079997,2.11031917032812,-1.26245040896205
2,1,13.63,1.81,2.7,17.2,112,2.85,2.91,0.3,1.46,7.3,1.28,2.88,1310,-2.60892387001125,1.66641801070956,0.217632760140192
2,1,14.3,1.92,2.72,20,120,2.8,3.14,0.33,1.97,6.2,1.07,2.65,1280,-2.47542845927375,2.33089671673848,0.831602070574921
2,1,13.83,1.57,2.62,20,115,2.95,3.4,0.4,1.72,6.6,1.13,2.57,1130,-2.22623243463865,1.63359016183863,0.794557947385198
1,1,14.19,1.59,2.48,16.5,108,3.3,3.93,0.32,1.86,8.7,1.23,2.82,1680,-3.74226929154367,2.52840526619883,-0.484832351043801
1,1,13.64,3.1,2.56,15.2,116,2.7,3.03,0.17,1.66,5.1,0.96,3.36,845,-2.39441149983179,1.06452945680444,-0.164711760833713
1,1,14.06,1.63,2.28,16,126,3,3.17,0.24,2.1,5.65,1.09,3.71,780,-3.33656895342439,0.79601279402859,-0.363852323290555
2,1,12.93,3.8,2.65,18.6,102,2.41,2.41,0.25,1.98,4.5,1.03,3.52,770,-1.48140399081155,0.240085474188392,0.936230971440758
1,1,13.71,1.86,2.36,16.6,101,2.61,2.88,0.27,1.69,3.8,1.11,4,1035,-2.82806867278622,-0.0868575523889233,-0.311966722084233
1,1,12.85,1.6,2.52,17.8,95,2.48,2.37,0.26,1.46,3.93,1.09,3.63,1015,-2.00771404614076,-0.515616486605793,0.143253972762808
2,1,13.5,1.81,2.61,20,96,2.53,2.61,0.28,1.66,3.52,1.12,3.82,845,-2.1146360360695,-0.315920569244982,0.889723441850227
3,1,13.05,2.05,3.22,25,124,2.63,2.68,0.47,1.92,3.58,1.13,3.2,830,-1.39753750704235,0.938215285289295,3.81984245031556
1,1,13.39,1.77,2.62,16.1,93,2.85,2.94,0.34,1.45,4.8,0.92,3.22,1195,-2.13348802793394,0.68710204603718,-0.0874580629136766
1,1,13.3,1.72,2.14,17,94,2.4,2.19,0.27,1.35,3.95,1.02,2.77,1285,-1.62970382656231,-0.0911840303442698,-1.38781726802232
2,1,13.87,1.9,2.8,19.4,107,2.95,2.97,0.37,1.76,4.5,1.25,3.4,915,-2.50760752761156,0.692749833419539,1.39417152791714
1,1,14.02,1.68,2.21,16,96,2.65,2.33,0.26,1.98,4.7,1.04,3.59,1035,-2.55948317880579,0.195472899698923,-1.09267935364354
2,1,13.73,1.5,2.7,22.5,101,3,3.25,0.29,2.38,5.7,1.19,2.71,1285,-2.77244452495721,1.24635279180937,1.38625548397698
1,1,13.58,1.66,2.36,19.1,106,2.86,3.19,0.22,1.95,6.9,1.09,2.88,1515,-2.93513374106543,1.47827883373358,-0.331852675449345
1,1,13.68,1.83,2.36,17.2,104,2.42,2.69,0.42,1.97,3.84,1.23,2.87,990,-1.99124841635785,0.0532520144951789,-0.16781476579994
2,1,13.76,1.53,2.7,19.5,132,2.95,2.74,0.5,1.35,5.4,1.25,3,1235,-2.24570986628227,1.63466910487086,1.17138375709847
2,1,13.51,1.8,2.65,19,110,2.35,2.53,0.29,1.54,4.2,1.1,2.87,1095,-1.78698627727329,0.697480386012439,0.478958711178971
2,1,13.48,1.81,2.41,20.5,100,2.7,2.98,0.26,1.86,5.1,1.04,3.47,920,-2.22763866597317,0.179288918510842,0.450723842220518
2,1,13.28,1.64,2.84,15.5,110,2.6,2.68,0.34,1.36,4.6,1.09,2.78,880,-1.76802847159983,0.657872308372621,0.457519616264738
1,1,13.05,1.65,2.55,18,98,2.45,2.43,0.29,1.44,4.25,1.12,2.51,1105,-1.52317798146861,0.112225053439236,-0.0401116945688926
1,1,13.07,1.5,2.1,15.5,98,2.4,2.64,0.28,1.37,3.7,1.18,2.69,1020,-1.87236494222254,-0.769305759496363,-1.42681925241351
1,1,14.22,3.99,2.51,13.2,128,3,3.04,0.2,2.08,5.1,0.89,3.53,760,-2.79711434370926,1.80880887341201,-0.342657070710884
1,1,13.56,1.71,2.31,16.2,117,3.15,3.29,0.34,2.34,6.13,0.95,3.38,795,-2.84093569315002,0.786161566875925,-0.117781870125518
1,1,13.41,3.84,2.12,18.8,90,2.45,2.68,0.27,1.48,4.28,0.91,3,1035,-1.10557210190483,0.165884924916522,-0.784568984509416
1,1,13.88,1.89,2.59,15,101,3.25,3.56,0.17,1.7,5.43,0.88,3.56,1095,-3.30689482406197,1.16395546861408,-0.312199951176416
1,1,13.24,3.98,2.29,17.5,103,2.64,2.63,0.32,1.66,4.36,0.82,3,680,-0.904798423422243,0.326072432459279,-0.202584244390758
1,1,13.05,1.77,2.1,17,107,3,3,0.28,2.03,5.04,0.88,3.35,885,-2.39683568977326,-0.0669059446984871,-0.655487425328118
2,1,14.21,4.04,2.44,18.9,111,2.85,2.65,0.3,1.25,5.24,0.87,3.33,1080,-1.53781234762399,1.77507765042763,0.0276685888243218
1,1,14.38,3.59,2.28,16,102,3.25,3.17,0.27,2.19,4.9,1.04,3.44,1065,-2.9912164379372,1.19762254740898,-0.539465841485597
1,1,13.9,1.68,2.12,16,101,3.1,3.39,0.21,2.14,6.1,0.91,3.33,985,-3.05931631366026,0.65382195761361,-1.15475795165684
1,1,14.1,2.02,2.4,18.8,103,2.75,2.92,0.32,2.38,6.2,1.07,2.75,1060,-2.31877145713034,1.25023668069826,-0.0572980141956853
1,1,13.94,1.73,2.27,17.4,108,2.88,3.54,0.32,2.08,8.9,1.12,3.1,1260,-2.95947228675277,1.75860364910816,-0.642655623797882
1,1,13.05,1.73,2.04,12.4,92,2.72,3.27,0.17,2.91,7.2,1.12,2.91,1150,-3.41218130134494,0.176915806385744,-1.9722820430621
1,1,13.83,1.65,2.6,17.2,94,2.45,2.99,0.22,2.29,5.6,1.24,3.37,1265,-3.11637826698342,0.752108734024336,0.00499813750781453
1,1,13.82,1.75,2.42,14,111,3.88,3.74,0.32,1.87,7.05,1.01,3.26,1190,-3.70021113493852,1.6230918691252,-0.519868450631356
2,1,13.77,1.9,2.68,17.1,115,3,2.79,0.39,1.68,6.3,1.13,2.93,1375,-2.53754827598777,1.87852793387603,0.339182162974589
1,1,13.74,1.67,2.25,16.4,118,2.6,2.9,0.21,1.62,5.85,0.92,3.2,1060,-2.44478923859452,1.02071515561337,-0.957570939917904
2,1,13.56,1.73,2.46,20.5,116,2.96,2.78,0.2,2.45,6.25,0.98,3.03,1120,-2.7228145085222,1.33524369033122,0.514188851524378
1,1,14.22,1.7,2.3,16.3,118,3.2,3,0.26,2.03,6.38,0.94,3.31,970,-2.98531677360704,1.44363758618008,-0.611793475987703
2,1,13.29,1.97,2.68,16.8,102,3,3.23,0.31,1.66,6,1.07,2.84,1270,-2.48814689921953,1.21549250325897,0.261493332039971
1,1,13.72,1.43,2.5,16.7,108,3.4,3.67,0.19,2.04,6.8,0.89,2.87,1285,-3.3512866509434,1.74060283037646,-0.28473512996094
4,2,12.37,0.94,1.36,10.6,88,1.98,0.57,0.28,0.42,1.95,1.05,1.82,520,0.874925040509434,-3.0777238292242,-4.58564618670204
1,2,12.33,1.1,2.28,16,101,2.05,1.09,0.63,0.41,3.27,1.25,1.67,680,1.4146607583906,-1.38995420419039,-0.876470823950594
1,2,12.64,1.36,2.02,16.8,100,2.02,1.41,0.53,0.62,5.75,0.98,1.59,450,1.71387915557214,-0.838856075050148,-1.60707177183734
1,2,13.67,1.25,1.92,18,94,2.1,1.79,0.32,0.73,3.8,1.23,2.46,630,-0.0122968606565281,-1.26269589185472,-1.78460521318128
1,2,12.37,1.13,2.16,19,87,3.5,3.1,0.19,1.87,4.45,1.22,2.87,420,-1.83310122333149,-1.91338608425193,-0.00530878166146387
5,2,12.17,1.45,2.53,19,104,1.89,1.75,0.45,1.03,2.95,1.45,2.23,355,0.574535949211862,-1.91115096848369,0.678679016527589
5,2,12.37,1.21,2.56,18.1,98,2.42,2.65,0.37,2.08,4.6,1.19,2.3,678,-0.79147115638626,-0.758725518508099,0.574195746189421
1,2,13.11,1.01,1.7,15,78,2.98,3.18,0.26,2.28,5.3,1.12,3.18,502,-2.02003147535956,-1.87213141944806,-2.02970052561639
1,2,12.37,1.17,1.92,19.6,78,2.11,2,0.27,1.04,4.68,1.12,3.48,510,-0.143280979866231,-2.42575691076129,-1.06951468867477
1,2,13.34,0.94,2.36,17,110,2.53,1.3,0.55,0.42,3.17,1.02,1.93,750,0.751507664984382,-0.225209016750748,-0.708153726626003
1,2,12.21,1.19,1.75,16.8,151,1.85,1.28,0.14,2.5,2.85,1.28,3.07,718,-1.74032573080742,-1.39100814696029,-1.23560112449025
1,2,12.29,1.61,2.21,20.4,103,1.1,1.02,0.37,1.46,3.05,0.906,1.82,870,1.47630040839855,-0.892248586294326,-0.629942735059628
5,2,13.86,1.51,2.67,25,86,2.95,2.86,0.21,1.87,3.38,1.36,3.16,410,-1.49197778577236,-0.947927081453601,1.95383697278111
1,2,13.49,1.66,2.24,24,87,1.88,1.84,0.27,1.03,3.74,0.98,2.78,472,0.693966858631859,-1.0668633193304,0.0798642383343272
3,2,12.99,1.67,2.6,30,139,3.3,2.89,0.21,1.96,3.35,1.31,3.5,985,-2.29945715720859,0.274358506874198,3.37681720755191
1,2,11.96,1.09,2.3,21,101,3.38,2.14,0.13,1.65,3.21,0.99,3.13,886,-1.63413137704918,-1.27738980375489,0.460188128572631
1,2,11.66,1.88,1.92,16,97,1.61,1.57,0.34,1.15,3.8,1.23,2.14,428,0.828999321153011,-2.44770578898885,-1.563704183632
1,2,13.03,0.9,1.71,16,86,1.95,2.03,0.24,1.46,4.6,1.19,2.48,392,-0.300431754673837,-2.15106456124647,-2.44873945231847
1,2,11.84,2.89,2.23,18,112,1.72,1.32,0.43,0.95,2.65,0.96,2.52,500,1.36117819562866,-1.39034626604281,-0.228302696804493
1,2,12.33,0.99,1.95,14.8,136,1.9,1.85,0.35,2.76,3.4,1.06,2.31,750,-1.09604852240746,-0.762642821246502,-1.18237276577934
5,2,12.7,3.87,2.4,23,101,2.83,2.55,0.43,1.95,2.57,1.19,3.13,463,-0.319219738913554,-1.02477042805181,1.79482091061803
1,2,12,0.92,2,19,86,2.42,2.26,0.3,1.43,2.5,1.38,3.12,278,-0.671257572317474,-3.3705249648868,-0.35670247093606
1,2,12.72,1.81,2.2,18.8,86,2.2,2.53,0.26,1.77,3.9,1.16,3.14,714,-0.924110908110466,-1.44510661539905,-0.362167940623068
5,2,12.08,1.13,2.51,24,78,2,1.58,0.4,1.4,2.2,1.31,2.72,630,0.467492043591586,-2.38376557318115,1.3351410768046
2,2,13.05,3.86,2.32,22.5,85,1.65,1.59,0.61,1.62,4.8,0.84,2.01,515,2.35241674961701,-0.100139963317696,0.472254333825727
1,2,11.84,0.89,2.58,18,94,2.2,2.21,0.22,2.35,3.05,0.79,3.08,520,-0.718223249755966,-1.46811394356896,0.611344418769916
1,2,12.67,0.98,2.24,18,99,2.2,1.94,0.3,1.46,2.62,1.23,3.16,450,-0.698296042267599,-2.02223416639151,-0.254062359269611
5,2,12.16,1.61,2.31,22.8,90,1.78,1.69,0.43,1.56,2.45,1.33,2.26,495,0.764574393374658,-2.23750414079052,0.772269731453934
5,2,11.65,1.67,2.62,26,88,1.92,1.61,0.4,1.34,2.6,1.36,3.21,562,0.528249228642719,-2.37569723350345,2.30704770004135
5,2,11.64,2.06,2.46,21.6,84,1.95,1.69,0.48,1.35,2.8,1,2.75,680,1.03785507464883,-1.80786798766377,0.958261131558316
5,2,12.08,1.33,2.3,23.6,70,2.2,1.59,0.42,1.38,1.74,1.07,3.21,625,0.521424250412998,-2.66038385968535,0.848509315963982
1,2,12.08,1.83,2.32,18.5,81,1.6,1.5,0.52,1.64,2.4,1.08,2.27,480,1.2533585938574,-2.1247563867907,-0.0488018728395874
5,2,12,1.51,2.42,22,86,1.45,1.25,0.5,1.63,3.6,1.05,2.65,450,1.46070926053375,-1.85969940463675,0.779936252263413
1,2,12.69,1.53,2.26,20.7,80,1.38,1.46,0.58,1.62,3.05,0.96,2.06,495,1.79124629379137,-1.56916323175625,-0.0908620808705786
1,2,12.29,2.83,2.22,18,88,2.45,2.25,0.25,1.99,2.15,1.15,3.3,290,-0.653304281588104,-2.30839296531951,0.11555843579289
1,2,11.62,1.99,2.28,18,98,3.02,2.26,0.17,1.35,3.25,1.16,2.96,345,-0.836145100430652,-2.2175488795631,0.143652590321682
2,2,12.47,1.52,2.2,19,162,2.5,2.27,0.32,3.28,2.6,1.16,2.63,937,-2.26060732354939,0.184286369966034,0.791707830863338
5,2,11.81,2.12,2.74,21.5,134,1.6,0.99,0.14,1.56,2.5,0.95,2.26,625,0.555472828331304,-0.370127326784993,1.30923904244485
1,2,12.29,1.41,1.98,16,85,2.55,2.5,0.29,1.77,2.9,1.23,2.74,428,-0.91499650486087,-2.55963934422139,-1.08537094773211
1,2,12.37,1.07,2.1,18.5,88,3.52,3.75,0.24,1.95,4.5,1.04,2.77,660,-2.02098347099634,-1.42022041267877,-0.228051483748104
1,2,12.29,3.17,2.21,18,88,2.85,2.99,0.45,2.81,2.3,1.42,2.83,406,-1.26542676540962,-2.15848250709234,0.750129033304087
1,2,12.08,2.08,1.7,17.5,97,2.23,2.17,0.26,1.4,3.3,1.27,2.96,710,-0.701432285999596,-2.37221591540541,-1.56724533671029
1,2,12.6,1.34,1.9,18.5,88,1.45,1.36,0.29,1.35,2.45,1.04,2.77,562,0.530869785363804,-2.29535505046996,-1.49917093659199
5,2,12.34,2.45,2.46,21,98,2.56,2.11,0.34,1.31,2.8,0.8,3.38,438,0.176156718278106,-1.16479002759562,1.00376103126286
1,2,11.82,1.72,1.88,19.5,86,2.5,1.64,0.37,1.42,2.06,0.94,2.44,415,0.642741969469318,-2.68228952587037,-0.765006368849743
1,2,12.51,1.73,1.98,20.5,85,2.2,1.92,0.32,1.48,2.94,1.04,3.57,672,-0.337706143211284,-2.09639667663934,-0.471487650245207
5,2,12.42,2.55,2.27,22,90,1.68,1.84,0.66,1.42,2.7,0.86,3.3,315,1.63721154557605,-1.72636424667685,0.94549954028355
1,2,12.25,1.73,2.12,19,80,1.65,2.03,0.37,1.63,3.4,1,3.17,510,0.35877264204089,-2.17081861734803,-0.48151654812557
1,2,12.72,1.75,2.28,22.5,84,1.38,1.76,0.48,1.63,3.3,0.88,2.42,488,1.51311874270307,-1.3633562761628,0.286009688651587
1,2,12.22,1.29,1.94,19,92,2.36,2.04,0.39,2.08,2.7,0.86,3.02,312,-0.0300962570148534,-2.30450774026741,-0.462917472098248
5,2,11.61,1.35,2.7,20,94,2.74,2.92,0.29,2.49,2.65,0.96,3.26,680,-1.40940236217992,-1.45311158233712,1.78122564290401
1,2,11.46,3.74,1.82,19.5,107,3.18,2.58,0.24,3.58,2.9,0.75,2.81,562,-1.2182444358066,-1.40819282304782,0.141869304833457
1,2,12.52,2.43,2.17,21,88,2.55,2.27,0.26,1.22,2,0.9,2.78,325,0.288314619355138,-1.93122641145063,0.0787556331242825
5,2,11.76,2.68,2.92,20,103,1.75,2.03,0.6,1.05,3.8,1.23,2.5,607,1.19609761861987,-0.770442623011624,1.99805177293587
5,2,11.41,0.74,2.5,21,88,2.48,2.01,0.42,1.44,3.08,1.1,2.31,434,0.451618188904886,-2.27100705583852,1.06117891031399
5,2,12.08,1.39,2.5,22.5,84,2.56,2.29,0.43,1.04,2.9,0.93,3.19,385,0.471838856482539,-1.94138118898555,1.32347950804612
5,2,11.03,1.51,2.2,21.5,85,2.46,2.17,0.52,2.01,1.9,1.71,2.87,407,-0.423399089637701,-3.86899360737888,1.34460234012742
1,2,11.82,1.47,1.99,20.8,86,1.98,1.6,0.3,1.53,1.95,0.95,3.33,495,0.264376527253503,-2.82191608320369,-0.302473756642594
5,2,12.42,1.61,2.19,22.5,108,2,2.09,0.34,1.61,2.06,1.06,2.96,345,0.137458466409629,-1.92845352723046,0.690492490864611
1,2,12.77,3.43,1.98,16,80,1.63,1.25,0.43,0.83,3.4,0.7,2.12,372,2.25047663366691,-1.26932529390539,-1.90489728695313
1,2,12,3.43,2,19,87,2,1.64,0.37,1.87,1.28,0.93,3.05,564,0.530744984140222,-2.22441679906472,-0.356421001755324
5,2,11.45,2.4,2.42,20,96,2.9,2.79,0.32,1.83,3.25,0.8,3.39,625,-0.641287353090289,-1.40431271687039,1.12630356344609
3,2,11.56,2.05,3.23,28.5,119,3.18,5.08,0.47,1.87,6,0.93,3.69,465,-1.18436690610859,0.260957397132812,5.34669930471416
5,2,12.42,4.43,2.73,26.5,102,2.2,2.13,0.43,1.71,2.08,0.92,3.12,365,1.10694194594725,-0.669497002293717,3.0094626355443
5,2,13.05,5.8,2.13,21.5,86,2.62,2.65,0.3,2.01,2.6,0.73,3.1,380,0.458647943883649,-0.619888484514281,0.483469393935843
5,2,11.87,4.31,2.39,21,82,2.86,3.03,0.21,2.91,2.8,0.75,3.64,380,-0.846107223272575,-1.43910879873124,1.48276881945652
5,2,12.07,2.16,2.17,21,85,2.6,2.65,0.37,1.35,2.76,0.86,3.28,378,0.116536717856258,-2.10990355370902,0.434953692373967
5,2,12.43,1.53,2.29,21.5,86,2.74,3.15,0.39,1.77,3.94,0.69,2.84,352,0.00708670000346173,-1.26551111761026,0.688045285367121
5,2,11.79,2.13,2.78,28.5,92,2.13,2.24,0.58,1.76,3,0.97,2.44,466,1.49530862937779,-1.21567944951741,3.36006476923025
5,2,12.37,1.63,2.3,24.5,88,2.22,2.45,0.4,1.9,2.12,0.89,2.78,342,0.478601694151814,-1.94027834740779,1.29653977277273
5,2,12.04,4.3,2.38,22,80,2.1,1.75,0.42,1.35,2.6,0.79,2.57,580,1.66414461885888,-1.15919146892237,0.781438228564554
1,3,12.86,1.35,2.32,18,122,1.51,1.25,0.21,0.94,4.1,0.76,1.29,630,1.77894554292412,0.172314762105993,-1.17886945268211
1,3,12.88,2.99,2.4,20,104,1.3,1.22,0.24,0.83,5.4,0.74,1.42,530,2.74191892156858,0.370857245012413,-0.723641100889621
2,3,12.81,2.31,2.4,24,98,1.15,1.09,0.27,0.83,5.7,0.66,1.36,560,3.25429696669101,0.257563458627379,-0.167783427853116
2,3,12.7,3.55,2.36,21.5,106,1.7,1.2,0.17,0.84,5,0.78,1.29,600,2.53036635288485,0.365988656979527,-0.452793591254767
1,3,12.51,1.24,2.25,17.5,85,2,0.58,0.6,1.25,5.45,0.75,1.51,650,2.71302437392033,-0.463874135363862,-1.10162252171531
1,3,12.6,2.46,2.2,18.5,94,1.62,0.66,0.63,0.94,7.1,0.73,1.58,695,3.34898858058208,0.345562158694733,-1.09990368652348
2,3,12.25,4.72,2.54,21,89,1.38,0.47,0.53,0.8,3.85,0.75,1.27,720,4.11716696493011,0.141973079054554,0.220219651970282
2,3,12.53,5.51,2.64,25,96,1.79,0.6,0.63,1.1,5,0.82,1.69,515,4.14412844273494,0.647213236313079,1.71069802141829
1,3,13.49,3.59,2.19,19.5,88,1.62,0.48,0.58,0.88,5.7,0.81,1.82,580,3.36592550493161,0.340410644348542,-1.02784756610668
2,3,12.84,2.96,2.61,24,101,2.32,0.6,0.53,0.81,4.92,0.89,2.15,590,2.71267678021766,0.287464382147181,1.24156157041989
2,3,12.93,2.81,2.7,21,96,1.54,0.5,0.53,0.75,4.6,0.77,2.31,600,3.07164522996684,0.279805941404604,0.608807930133216
1,3,13.36,2.56,2.35,20,89,1.4,0.5,0.37,0.64,5.6,0.7,2.47,780,2.62614546079555,0.368232870651607,-0.971981337715962
2,3,13.52,3.17,2.72,23.5,97,1.55,0.52,0.5,0.55,4.35,0.89,2.06,520,3.26039671602852,0.48109080354365,0.945869411422692
2,3,13.62,4.95,2.35,20,92,2,0.8,0.47,1.02,4.4,0.91,2.05,550,2.7040469915049,0.477459847532686,-0.253362188543121
1,3,12.25,3.88,2.2,18.5,112,1.38,0.78,0.29,1.14,8.21,0.65,2,855,2.59084774577339,1.15749986630474,-1.24462311712252
1,3,13.16,3.57,2.15,21,102,1.5,0.55,0.43,1.3,4,0.6,1.68,830,2.95401109683537,0.557851499136976,-0.856141264277646
1,3,13.88,5.04,2.23,20,80,0.98,0.34,0.4,0.68,4.9,0.58,1.33,415,4.45995006409098,0.635479007808678,-1.45991022128686
2,3,12.87,4.61,2.48,21.5,86,1.7,0.65,0.47,0.86,7.65,0.54,1.86,625,3.82924956945651,1.26232961797383,-0.111849762092851
2,3,13.32,3.24,2.38,21.5,92,1.93,0.76,0.45,1.25,8.42,0.55,1.62,650,3.13365001332147,1.56464613815678,-0.472735777899454
1,3,13.08,3.9,2.36,21.5,113,1.41,1.39,0.34,1.14,9.4,0.57,1.33,550,3.23471410208436,2.03532442843175,-0.495850786684202
2,3,13.5,3.12,2.62,24,123,1.4,1.57,0.22,1.25,8.6,0.59,1.3,500,2.71256471948442,2.35387959897073,0.438394135538177
1,3,12.79,2.67,2.48,22,112,1.48,1.36,0.24,1.26,10.8,0.48,1.47,480,2.93094044450084,2.04198352899117,-0.311553349575994
2,3,13.11,1.9,2.75,25.5,116,2.2,1.28,0.26,1.56,7.1,0.61,1.33,425,2.25057424769114,1.52795614393565,1.36375980639567
1,3,13.23,3.3,2.28,18.5,98,1.8,0.83,0.61,1.87,10.52,0.56,1.51,675,3.09752033280811,2.133481760038,-0.964702505762809
1,3,12.58,1.29,2.1,20,103,1.48,0.58,0.53,1.4,7.6,0.58,1.55,640,3.07705566794396,0.404790974745672,-1.19032620227804
2,3,13.17,5.19,2.32,22,93,1.74,0.63,0.61,1.55,7.9,0.6,1.48,725,3.85615823747434,1.79208943219109,-0.0950222792425219
1,3,13.84,4.12,2.38,19.5,89,1.8,0.83,0.48,1.56,9.01,0.57,1.64,480,3.20838842415732,1.91882788255372,-0.782626281410133
2,3,12.45,3.03,2.64,27,97,1.9,0.58,0.63,1.14,7.5,0.67,1.73,880,3.65849417236473,1.30258081619882,1.60108960402973
2,3,14.34,1.68,2.7,25,98,2.8,1.31,0.53,2.7,13,0.57,1.96,660,1.55298182699966,3.51909311170628,1.16159677219525
2,3,13.48,1.67,2.64,22.5,89,2.6,1.1,0.52,2.29,11.75,0.57,1.78,620,2.0582838922805,2.40754610283152,0.549571767055338
2,3,12.36,3.83,2.38,21,88,2.3,0.92,0.5,1.04,7.65,0.56,1.58,520,3.43854933927236,0.730543243393916,-0.0914691324807009
2,3,13.69,3.26,2.54,20,107,1.83,0.56,0.5,0.8,5.88,0.96,1.82,680,2.58448814691641,1.1713283863621,-0.101779999805288
2,3,12.85,3.27,2.58,22,106,1.65,0.6,0.6,0.96,5.58,0.87,2.11,570,3.1444572161467,0.549035840611872,0.803473957309214
1,3,12.96,3.45,2.35,18.5,106,1.39,0.7,0.4,0.94,5.28,0.68,1.75,675,2.92529398199632,0.692656844034504,-0.88518751218696
1,3,13.78,2.76,2.3,22,90,1.35,0.68,0.41,1.03,9.58,0.7,1.68,615,3.26182677460972,1.54859056773605,-0.983800479359259
2,3,13.73,4.36,2.26,22.5,88,1.28,0.47,0.52,1.15,6.62,0.78,1.75,520,3.77758716636685,0.872311545928367,-0.467133500315217
2,3,13.45,3.7,2.6,23,111,1.7,0.92,0.43,1.46,10.68,0.85,1.56,695,2.7746392515473,2.58870464521615,0.428405575154427
1,3,12.82,3.37,2.3,19.5,88,1.48,0.66,0.4,0.97,10.26,0.72,1.75,685,3.24261617734121,1.26784789470473,-1.21371522720955
2,3,13.58,2.58,2.69,24.5,105,1.55,0.84,0.39,1.54,8.66,0.74,1.8,750,2.5637437530436,2.07490927007824,0.764076542816225
2,3,13.4,4.6,2.86,25,112,1.98,0.96,0.27,1.11,8.5,0.67,1.92,630,2.74872947630786,2.58508204378142,1.41826705826216
1,3,12.2,3.03,2.32,19,96,1.25,0.49,0.4,0.73,5.5,0.66,1.83,510,3.49119619642381,-0.259460200796516,-0.847741921858882
1,3,12.77,2.39,2.28,19.5,86,1.39,0.51,0.48,0.64,9.899999,0.57,1.63,470,3.9291344048444,0.837386028219229,-1.34034779979215
1,3,14.16,2.51,2.48,20,91,1.68,0.7,0.44,1.24,9.7,0.62,1.71,660,2.81529546572668,2.18933614126174,-0.918927443384262
1,3,13.71,5.65,2.45,20.5,95,1.68,0.61,0.52,1.06,7.7,0.64,1.74,740,3.6279962016789,2.206617014001,-0.343667668263106
2,3,13.4,3.91,2.48,23,102,1.8,0.75,0.43,1.41,7.3,0.7,1.56,750,2.9427292151001,1.75226320186389,0.207479744125814
1,3,13.27,4.28,2.26,20,120,1.59,0.69,0.43,1.35,10.2,0.59,1.56,835,3.02727243234424,2.75604023879265,-0.940803035998635
1,3,13.17,2.59,2.37,20,120,1.65,0.68,0.53,1.46,9.3,0.6,1.62,840,2.75522166412366,2.2937840822057,-0.550473676609645
2,3,14.13,4.1,2.74,24.5,96,2.05,0.76,0.56,1.35,9.2,0.61,1.6,560,3.49633565407092,2.76060799009587,1.01315114808039
